PresOrder,TrialNumber,Background,StairNum,BlockNum,PerspNum,CurrSize,Response,ReactionTIme,Stair_Update
34,57,1,1,1,1,0.925,1,1.22695101800127,0
35,54,1,2,1,2,1.15,2,1.10006474299735,1
36,16,1,2,1,2,1.1,1,1.00999771200077,0
37,30,1,2,1,2,1.3,2,1.00716421700054,1
38,37,1,1,1,1,0.925,2,1.0205972219992,1
39,8,1,2,1,2,1.125,2,1.13317162800013,1
40,58,1,2,1,2,1.1,2,1.09807535300206,1
41,75,1,4,1,1,0.5,1,1.23938457599797,0
42,70,1,3,1,2,1.5,2,1.06371320900143,1
43,32,1,2,1,2,0.75,1,1.25278539900319,0
44,24,1,2,1,2,1.3,2,1.0101356189989,1
45,25,1,1,1,1,1.01,2,1.20597092699973,1
46,26,1,2,1,2,0.8,1,1.12644479200026,0
47,2,1,2,1,2,1.05,1,1.12333046399726,0
48,43,1,1,1,1,0.9,1,1.05630514999939,0
49,4,1,2,1,2,1.075,1,1.22289630700106,0
50,21,1,1,1,1,0.95,2,1.1202469480013,1
51,76,1,4,1,2,0.5,1,1.25330267499885,0
52,69,1,3,1,1,1.5,2,1.14042280899957,1
53,5,1,1,1,1,0.9,1,1.16928941800143,0
54,64,1,3,1,2,1.5,2,1.21265117599978,1
55,74,1,4,1,2,0.5,1,1.23448918499707,0
56,48,1,2,1,2,1.075,2,1.26077311199697,1
57,20,1,2,1,2,1.3,2,1.13048543100012,1
58,51,1,1,1,1,0.95,2,1.15998315399702,1
59,80,1,4,1,2,0.5,1,1.2429221679995,0
60,12,1,2,1,2,1.3,2,1.00794862600014,1
61,72,1,4,1,2,0.5,1,1.08351285699973,0
62,63,1,3,1,1,1.5,2,1.20154252800057,1
63,65,1,3,1,1,1.5,2,1.05141453300166,1
64,34,1,2,1,2,0.875,1,1.02062176499749,0
65,59,1,1,1,1,0.925,1,1.21947425600229,0
66,11,1,1,1,1,0.925,1,1.07914883200283,0
67,50,1,2,1,2,1.05,1,1.13734557299904,0
68,28,1,2,1,2,1.05,1,1.24344276199918,0
69,15,1,1,1,1,0.925,1,1.06088326700046,0
70,67,1,3,1,1,1.5,2,1.04656157099816,1
71,42,1,2,1,2,1.1,1,1.11027352699966,0
72,53,1,1,1,1,0.925,1,1.12184744499973,0
73,33,1,1,1,1,0.925,1,1.26163826699849,0
74,46,1,2,1,2,1.175,2,1.02225079500204,1
75,44,1,2,1,2,1.075,1,1.02003364700067,0
76,13,1,1,1,1,0.925,1,1.01902437099852,0
77,10,1,2,1,2,1.125,2,1.01994348900189,1
78,35,1,1,1,1,0.925,1,1.01885822799886,0
79,77,1,4,1,1,0.5,1,1.00687271999777,0
80,38,1,2,1,2,1.1,1,1.01464914700045,0
81,151,2,4,2,1,0.5,1,2.02513802199974,0
82,118,2,2,2,2,0.99,2,1.46621274999779,1
83,122,2,2,2,2,0.75,1,1.29725988199789,0
84,144,2,3,2,2,1.5,2,1.30323889800275,1
85,153,2,4,2,1,0.5,1,1.25994353699934,0
86,105,2,1,2,1,0.99,2,1.2507090500003,1
87,81,2,1,2,1,0.75,1,1.27326811300009,0
88,141,2,3,2,1,1.5,2,1.24806590599837,1
89,147,2,3,2,1,1.5,2,1.25684209199972,1
90,128,2,2,2,2,0.9,1,1.13681568500033,0
91,106,2,2,2,2,0.975,2,1.24578576799831,1
92,115,2,1,2,1,0.9,1,1.25139321299866,0
93,146,2,3,2,2,1.5,2,1.16770544499741,1
94,86,2,2,2,2,0.925,1,1.24564081200151,0
95,87,2,1,2,1,0.975,2,1.02936529200088,1
